customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-100000,Male,0,Yes,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,32.43,548.27,No
CUST-100001,Female,1,Yes,No,4,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,103.88,400.07,Yes
CUST-100002,Female,0,No,Yes,4,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Mailed check,85.19,324.32,No
CUST-100003,Male,0,Yes,No,65,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,89.41,5800.53,No
CUST-100004,Male,0,Yes,No,66,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),87.25,5740.81,Yes
CUST-100005,Female,0,Yes,No,13,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),99.09,1298.58,Yes
CUST-100006,Male,0,Yes,No,22,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,92.29,2035.33,Yes
CUST-100007,Female,0,Yes,No,6,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,68.08,440.08,No
CUST-100008,Male,0,No,No,0,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,89.13,0.0,No
CUST-100009,Male,0,Yes,No,9,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),73.84,668.56,No
CUST-100010,Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.44,981.54,No
CUST-100011,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.23,1367.34,No
CUST-100012,Female,0,No,Yes,8,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,64.03,487.54,No
CUST-100013,Female,0,Yes,No,8,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,79.01,640.18,No
CUST-100014,Female,1,Yes,No,50,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),48.9,2447.93,No
CUST-100015,Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,89.97,545.88,No
CUST-100016,Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,33.58,101.93,No
CUST-100017,Male,1,Yes,No,22,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,88.33,1977.52,No
